#{"t_start": 1763153681.992262, "env_id": "None"}
r,l,t
-1.16533,18,95.527995
-17.591179,40,95.920663
6.075825,10,96.005054
6.777158,9,96.088378
-1.948206,20,96.325507
2.947042,14,96.533177
7.696408,7,96.637474
-7.218235,27,96.887791
-9.790585,27,97.166209
-10.822358,34,97.520434
3.110498,16,97.684352
9.32558,3,97.687349
-2.556667,19,97.8828
-4.160957,24,98.122734
1.095762,19,98.324051
-11.679771,30,98.680073
-3.983008,24,98.969631
-1.553782,21,99.237777
-10.644523,32,99.581464
-0.691973,21,99.790471
-7.07638,27,100.085374
6.059792,10,100.179339
5.43657,12,100.312471
7.605131,7,100.394744
-3.265453,24,100.658109
-3.365078,21,100.960019
-8.487846,32,101.40019
-0.335258,22,101.664087
-9.376549,30,101.965649
-3.252244,26,102.257457
3.83425,15,102.392709
0.452916,18,102.600456
8.545762,5,102.647668
6.832085,8,102.728195
-15.723397,33,103.059474
-9.33676,31,103.450988
3.214521,13,103.583678
3.246744,15,103.759021
6.447333,10,103.893696
8.57955,5,103.938848
10.0,1,103.940848
8.137407,6,104.027975
2.086643,15,104.15796
6.841052,8,104.241881
10.0,1,104.284513
-4.326534,25,104.543712
-15.96811,38,104.906088
8.910123,4,104.946958
-3.216274,22,105.187528
3.093082,14,105.358929
4.595131,12,105.525099
5.708886,11,105.691381
-1.964154,21,105.965289
7.278424,8,106.055063
4.928478,11,106.176957
5.269449,12,106.299984
-6.128602,28,106.58633
5.190213,11,106.704514
-13.446746,36,107.078232
1.924678,19,107.274049
10.0,1,107.276049
-5.572313,26,107.521684
1.982241,15,107.679119
0.959661,20,107.916756
-2.637093,22,108.236336
-3.41335,22,108.449153
-5.857461,22,108.691179
10.0,1,108.695185
1.890206,17,108.857993
-4.388146,27,109.1394
5.726367,10,109.221867
-11.603825,30,109.53749
2.16308,18,109.698138
4.749108,11,109.820447
-10.861539,30,110.1679
3.767835,13,110.323688
7.602778,7,110.427477
-0.055625,18,110.599427
-8.285292,30,110.906545
5.559555,11,110.985328
-10.697195,28,111.253187
0.466044,18,111.439566
9.3222,3,111.476856
2.229331,18,111.62797
-12.67901,31,111.931913
9.689458,2,111.935256
-3.388671,24,112.158588
-5.713672,27,112.518884
4.51415,13,112.661419
6.482567,10,112.773866
-3.223567,22,112.980126
-1.381355,19,113.166486
-1.431285,19,113.360547
10.0,1,113.362547
-0.991219,23,113.598939
1.980621,15,113.750968
6.954679,8,113.828658
3.864302,14,113.957315
-3.504008,25,114.182997
10.0,1,114.218771
-4.793533,23,114.430829
-1.114676,17,114.677088
1.013594,17,114.829574
-0.96549,21,115.020932
8.13001,6,115.091423
2.011941,16,115.256118
-1.348821,19,115.428467
-7.535345,30,115.755019
-1.143114,19,115.962416
-8.697197,25,116.208547
4.823124,12,116.329267
-15.884119,37,116.799565
5.288837,12,116.924891
-6.764058,26,117.219083
-5.863314,26,117.449116
4.651472,12,117.567596
4.441627,12,117.687222
7.079351,8,117.768741
8.091459,6,117.848928
-6.420659,26,118.098952
9.284195,3,118.141538
-11.181387,33,118.465317
-0.081113,20,118.686018
3.038273,14,118.90876
-6.700383,26,119.178813
10.0,1,119.178813
-5.878115,24,119.432518
4.941435,13,119.605945
2.593495,17,119.774792
0.264375,18,119.944668
5.607881,12,120.067804
10.0,1,120.108081
7.389503,7,120.153078
-8.098216,32,120.482357
10.0,1,120.517555
8.976938,4,120.561282
5.850007,10,120.646729
10.0,1,120.649529
4.601508,14,120.806228
7.067375,8,120.908121
5.586886,10,121.028297
